0	1672	365	1793	473	0.767	0
1	1785	138	1917	261	0.763	0
2	1791	362	1917	474	0.759	0
3	1787	810	1917	925	0.746	0
4	1667	137	1792	253	0.738	0
5	1664	31	1798	142	0.724	0
6	187	1021	234	1062	0.704	0
7	236	1017	284	1062	0.686	0
8	141	1021	184	1062	0.676	0
9	286	1018	331	1061	0.675	0
10	723	1021	765	1061	0.672	0
11	1830	1010	1881	1072	0.671	0
12	335	1018	379	1062	0.670	0
13	39	1015	88	1064	0.669	0
14	383	1021	426	1061	0.668	0
15	674	1021	716	1061	0.657	0
16	865	1020	911	1064	0.655	0
17	1792	478	1916	589	0.655	0
18	914	1021	960	1064	0.653	0
19	965	1019	1010	1061	0.650	0
20	1735	1016	1786	1070	0.650	0
21	1110	1019	1154	1063	0.649	0
22	1060	1019	1105	1063	0.648	0
23	93	1017	137	1064	0.644	0
24	529	1019	571	1061	0.643	0
25	818	1021	862	1062	0.641	0
26	480	1021	524	1061	0.638	0
27	1785	1014	1832	1072	0.638	0
28	432	1020	475	1062	0.637	0
29	1515	1013	1567	1063	0.634	0
30	1014	1021	1055	1063	0.633	0
31	577	1019	621	1061	0.631	0
32	625	1020	667	1062	0.629	0
33	1158	1021	1201	1061	0.626	0
34	1689	1011	1738	1069	0.623	0
35	1580	1010	1685	1066	0.620	0
36	1411	1013	1463	1064	0.619	0
37	1349	1015	1401	1063	0.619	0
38	1804	30	1912	137	0.618	0
39	1467	1014	1511	1063	0.617	0
40	1752	0	1781	25	0.614	0
41	770	1020	815	1061	0.613	0
42	1207	1018	1250	1062	0.612	0
43	1302	1016	1345	1062	0.612	0
44	1670	244	1789	384	0.609	0
45	1255	1016	1295	1062	0.607	0
46	1542	0	1574	26	0.588	0
47	1718	0	1751	25	0.585	0
48	1608	0	1648	26	0.582	0
49	1576	0	1606	26	0.573	0
50	1688	0	1715	26	0.568	0
51	1508	0	1540	25	0.567	0
52	1327	42	1458	194	0.561	0
53	1477	0	1503	24	0.556	0
54	1651	0	1684	27	0.549	0
55	1792	595	1917	776	0.465	0
56	164	0	200	23	0.459	0
57	48	0	117	23	0.317	0
58	210	0	254	21	0.273	0
59	10	0	44	25	0.265	0
60	122	0	161	22	0.253	0
61	268	0	320	27	0.225	0
62	329	0	371	22	0.148	0
